,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
0,,217.0,12.0,,441.0,,multi_family_house,n,no_information,no_information,no_information,n,Nordrhein_Westfalen,Ennepe_Ruhr_Kreis,159000.0,real
1,,152.0,5.0,,787.0,,no_information,n,no_information,sophisticated,floor_heating,n,Hessen,Schwalm_Eder_Kreis,249543.0,real
2,1938.0,147.0,6.0,,348.0,,no_information,y,no_information,no_information,central_heating,n,Hessen,Bergstraße_Kreis,292000.0,real
3,1908.0,1097.13,20.0,3.0,1040.0,8.0,multi_family_house,y,well_kept,normal,central_heating,n,Nordrhein_Westfalen,Aachen_Kreis,875000.0,real
4,,160.0,5.0,2.0,800.0,,single_family_house,n,first_time_use,sophisticated,gas_heating,n,Rheinland_Pfalz,Westerwaldkreis,299000.0,real
5,1980.0,275.0,8.0,,1310.0,2.0,other_real_estate,y,well_kept,no_information,central_heating,n,Bayern,Aichach_Friedberg_Kreis,949000.0,real
6,1996.0,235.0,8.0,,755.0,6.0,semidetached_house,n,well_kept,no_information,stove_heating,n,Bayern,Regensburg,849000.0,real
7,,111.0,5.0,2.0,656.0,,single_family_house,n,no_information,sophisticated,heat_pump,n,Rheinland_Pfalz,Mainz_Bingen_Kreis,570000.0,real
8,1978.0,120.0,4.0,2.0,365.0,1.0,end_terrace_house,n,well_kept,normal,central_heating,n,Niedersachsen,Oldenburg_Oldenburg,368000.0,real
9,,152.0,4.0,,417.0,1.0,single_family_house,n,first_time_use,no_information,central_heating,n,Schleswig_Holstein,Nordfriesland_Kreis,1695000.0,real
10,2002.0,365.0,8.0,,670.0,4.0,single_family_house,n,no_information,no_information,no_information,n,Nordrhein_Westfalen,Aachen_Kreis,680000.0,real
11,1900.0,141.0,6.0,3.0,190.0,,single_family_house,n,no_information,no_information,no_information,n,Sachsen,Nordsachsen_Kreis,260000.0,real
12,1966.0,428.0,9.0,,1138.0,3.0,single_family_house,y,well_kept,sophisticated,gas_heating,n,Nordrhein_Westfalen,Hochsauerlandkreis,249000.0,real
13,1971.0,366.0,15.0,3.0,722.0,6.0,multi_family_house,n,well_kept,no_information,no_information,n,Nordrhein_Westfalen,Steinfurt_Kreis,390000.0,real
14,,183.53,7.0,3.0,1148.0,1.0,single_family_house,y,modernized,normal,central_heating,n,Hessen,Limburg_Weilburg_Kreis,210000.0,real
15,1957.0,110.0,4.0,,508.0,1.0,semidetached_house,y,no_information,no_information,no_information,n,Nordrhein_Westfalen,Köln,399000.0,real
16,1920.0,392.0,14.0,2.0,1464.0,5.0,multi_family_house,n,no_information,no_information,central_heating,n,Nordrhein_Westfalen,Euskirchen_Kreis,359000.0,real
17,1965.0,102.85,5.0,,783.0,1.0,single_family_house,y,well_kept,normal,central_heating,n,Schleswig_Holstein,Ostholstein_Kreis,179000.0,real
18,2020.0,141.13,5.0,3.0,450.0,2.0,semidetached_house,y,first_time_use,luxury,heat_pump,y,Hessen,Main_Kinzig_Kreis,539000.0,real
19,1971.0,280.0,10.0,,550.0,6.0,single_family_house,n,no_information,no_information,central_heating,n,Niedersachsen,Osterode_am_Harz_Kreis,219000.0,real
20,1993.0,100.0,5.0,,350.0,1.0,semidetached_house,y,fully_renovated,no_information,central_heating,n,Bayern,Dachau_Kreis,678000.0,real
21,2006.0,160.0,6.0,1.0,500.0,,single_family_house,n,well_kept,normal,floor_heating,n,Berlin,Berlin,750000.0,real
22,1930.0,65.0,4.0,1.0,561.0,1.0,single_family_house,n,no_information,no_information,no_information,n,Berlin,Berlin,427000.0,real
23,1987.0,237.0,5.0,,2069.0,1.0,single_family_house,y,well_kept,sophisticated,gas_heating,n,Schleswig_Holstein,Stormarn_Kreis,1050000.0,real
24,1904.0,110.0,7.0,,1430.0,1.0,single_family_house,n,need_of_renovation,no_information,no_information,n,Sachsen_Anhalt,Mansfeld_Südharz_Kreis,70000.0,real
25,1973.0,231.0,9.0,3.0,2900.0,3.0,single_family_house,y,no_information,no_information,central_heating,n,Rheinland_Pfalz,Rhein_Hunsrück_Kreis,318000.0,real
26,1991.0,108.0,4.0,2.0,263.0,,semidetached_house,n,modernized,normal,gas_heating,n,Niedersachsen,Stade_Kreis,405000.0,real
27,1993.0,280.0,14.0,,2162.0,12.0,multi_family_house,n,well_kept,no_information,no_information,n,Sachsen_Anhalt,Magdeburg,979000.0,real
